"tract","Name","Foreign-Born_Share_in_2012-16"
12086001206,"Miami Shores, FL",0.3155
12086004106,"Bayshore, Miami Beach, FL",0.3104
12086006802,"Northeast Coconut Grove, Miami, FL",0.307
12086006801,"Northeast Coconut Grove, Miami, FL",0.3029
12086007101,"Coconut Grove, Miami, FL",0.2987
12086007103,"Coconut Grove, Miami, FL",0.2976
12086003400,"Overtown, Miami, FL",0.2881
12086003906,"La Gorce, Miami Beach, FL",0.2713
12086001205,"Miami Shores, FL",0.2685
12086002800,"Wynwood, Miami, FL",0.2569
12086001701,"Brownsville, Miami, FL",0.2547
12086001003,"Miami, FL",0.2545
12086001002,"Miami, FL",0.2444
12086002300,"Model City, Miami, FL",0.2317
12086001802,"Miami, FL",0.2295
12086001702,"Brownsville, Miami, FL",0.2219
12086001005,"Miami, FL",0.2119
12086001004,"Miami, FL",0.2094
12086007200,"Coconut Grove, Miami, FL",0.1902
12086003100,"Overtown, Miami, FL",0.1804
12086001803,"Brownsville, Miami, FL",0.1742
12086001901,"Model City, Miami, FL",0.17
12086001801,"Brownsville, Miami, FL",0.1418
12086001903,"Model City, Miami, FL",0.1326
12086001502,"Miami, FL",0.1251
12086001904,"Model City, Miami, FL",0.0954
12086001501,"Model City, Miami, FL",0.0842
12086981000,"Star, Palm and Hibiscus Islands, Miami Beach, FL",0
12086980500,"Miami, FL",
12086980400,"Downtown Miami, Key Biscayne, FL",
