"tract","Name","Foreign-Born_Share_in_2012-16"
24510270801,"Idlewood, Baltimore, MD",0.0774
24005420600,"Baltimore, MD",0.0774
24005420702,"Dundalk, MD",0.077
24005401200,"Woodlawn, MD",0.0767
24510271001,"Baltimore, MD",0.0762
24005430700,"Halethorpe, MD",0.076
24510270802,"Ramblewood, Baltimore, MD",0.0752
24005402202,"Baltimore County, MD",0.0742
24005440500,"Nottingham, MD",0.0739
24005403100,"Gwynn Oak, Pikesville, MD",0.0734
24005400200,"Catonsville, MD",0.0729
24510151300,"Central Park Heights, Baltimore, MD",0.0721
24510170100,"Downtown, Baltimore, MD",0.0715
24003750801,"Glen Burnie, MD",0.0714
24510220100,"Baltimore, MD",0.0708
24005451100,"Essex, MD",0.0708
24005440400,"Baltimore, MD",0.0698
24510271801,"Arlington, Baltimore, MD",0.0696
24005450501,"Essex, MD",0.0695
24005451300,"Middle River, MD",0.0686
24005402201,"Randallstown, MD",0.0684
24005490302,"Towson, MD",0.0683
24005490400,"Towson, MD",0.068
24510190100,"Franklin Square, Baltimore, MD",0.0651
24005411406,"Nottingham, MD",0.0648
24510230100,"Baltimore, MD",0.0643
24005400702,"Baltimore, MD",0.0641
24005402403,"Gwynn Oak, Baltimore, MD",0.0637
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.0636
24005421101,"Baltimore, MD",0.0635
24510270402,"Glenham-Belford, Baltimore, MD",0.0631
24510210100,"Pigtown, Baltimore, MD",0.0631
24003750201,"Brooklyn, Baltimore, MD",0.0626
24510090400,"Better Waverly, Baltimore, MD",0.062
24005492101,"Parkville, MD",0.062
24510120300,"Harwood, Baltimore, MD",0.0619
24510130600,"Hampden, Baltimore, MD",0.0619
24510060400,"Baltimore, MD",0.0618
24510270101,"Arcadia, Baltimore, MD",0.0615
24510010100,"Canton, Baltimore, MD",0.0614
24003750102,"Baltimore, MD",0.061
24003750300,"Linthicum Heights, MD",0.0609
24510271503,"Cross Keys, Baltimore, MD",0.0607
24510271102,"Mid-Charles, Baltimore, MD",0.0607
24005402504,"Randallstown, MD",0.0606
24510010200,"Patterson Park, Baltimore, MD",0.0603
24005408702,"Towson, MD",0.0596
24510151000,"Dorchester, Baltimore, MD",0.0595
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.0594
24005400600,"Catonsville, MD",0.0589
24005490605,"Towson, MD",0.0587
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.0585
24510260203,"Frankford, Baltimore, MD",0.0581
24510270501,"Woodring, Baltimore, MD",0.0579
24005490100,"Towson, MD",0.0577
24005400400,"Catonsville, MD",0.057
24510240400,"Riverside Park, Baltimore, MD",0.0563
24005401400,"Catonsville, MD",0.0556
24003751102,"Glen Burnie, MD",0.0554
24005451900,"Edgemere, MD",0.0542
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.0541
24510140200,"Upton, Baltimore, MD",0.054
24005450100,"Rosedale, MD",0.0539
24510260302,"Belair - Edison, Baltimore, MD",0.0538
24510270703,"North Harford Road, Baltimore, MD",0.0536
24510240100,"Locust Point, Baltimore, MD",0.0536
24510090800,"East Baltimore Midway, Baltimore, MD",0.052
24005430600,"Relay, Halethorpe, MD",0.0518
24003751000,"Glen Burnie, MD",0.0504
24510270901,"New Northwood, Baltimore, MD",0.0503
24005491000,"Baltimore, MD",0.0502
24510130200,"Reservoir Hill, Baltimore, MD",0.0499
24510250206,"Morrell Park, Baltimore, MD",0.0493
24003750202,"Brooklyn Park, MD",0.0492
24003750203,"Baltimore, MD",0.0488
24510230200,"South Baltimore, Baltimore, MD",0.0486
24510160100,"Harlem Park, Baltimore, MD",0.0481
24510250103,"Violetville, Baltimore, MD",0.0479
24510010500,"Upper Fells Point, Baltimore, MD",0.0476
24510151100,"East Arlington, Baltimore, MD",0.0471
24510270805,"Mid-Govans, Baltimore, MD",0.046
24510261100,"Canton, Baltimore, MD",0.0455
24510170300,"Upton, Baltimore, MD",0.0454
24005401000,"Catonsville, MD",0.0453
24005403802,"Pikesville, MD",0.0452
24510180200,"Poppleton, Baltimore, MD",0.0447
24005403201,"Gwynn Oak, Lochearn, MD",0.044
24510200800,"Irvington, Baltimore, MD",0.0439
24005451802,"Middle River, MD",0.0435
24005492002,"Parkville, MD",0.0429
24510270102,"Waltherson, Baltimore, MD",0.0428
24510260900,"Baltimore, MD",0.0424
24003750101,"Brooklyn Park, MD",0.0423
24005420800,"Dundalk, MD",0.0421
24005452500,"Dundalk, MD",0.0421
24510080500,"Darley Park, Baltimore, MD",0.0414
24510200400,"Shipley Hill, Baltimore, MD",0.0408
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",0.0404
24510270803,"Loch Raven, Baltimore, MD",0.04
24510130400,"Woodbrook, Baltimore, MD",0.04
24510260301,"Belair - Edison, Baltimore, MD",0.0396
24510270902,"Perring Loch, Baltimore, MD",0.0395
24510271700,"Central Park Heights, Baltimore, MD",0.0391
24510280401,"Baltimore, MD",0.039
24510130806,"Woodberry, Baltimore, MD",0.0386
24005490701,"Towson, MD",0.0383
24510280200,"Gwynn Oak, Baltimore, MD",0.0381
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.038
24510150300,"Coppin Heights, Baltimore, MD",0.0374
24005450900,"Essex, MD",0.0373
24005420301,"Dundalk, MD",0.0373
24510151200,"Park Circle, Baltimore, MD",0.0372
24005492300,"Essex, MD",0.0361
24510150900,"Windsor Hills, Baltimore, MD",0.0355
24005421102,"Dundalk, MD",0.0354
24510130805,"Cold Springs, Baltimore, MD",0.0353
24510280102,"Gwynn Oak, Baltimore, MD",0.0344
24510160801,"Edmondson, Baltimore, MD",0.0344
24510150800,"Garwyn Oaks, Baltimore, MD",0.0343
24510080800,"Broadway East, Baltimore, MD",0.0341
24005452000,"Sparrows Point, MD",0.0338
